钢	8617
筋	6108
纸	2213
银	1861
金	1543
亿	1292
恒	1229
胶	986
利	959
版	889
印	706
管	648
方	613
白	564
刷	538
调	511
空	502
海	496
浆	491
木	476
全	470
发	434
焊	407
精	404
板	392
涂	347
彭	342
布	332
制	324
料	324
面	288
轻	288
象	283
饮	281
量	278
电	274
便	266
高	264
嘉	263
螺	261
港	260
复	244
箔	232
热	225
立	222
泓	218
瑞	206
豪	196
双	192
零	188
镀	174
车	166
品	162
器	159
原	145
长	141
加	141
家	140
本	139
薄	134
城	131
黑	130
纹	128
郓	125
件	116
山	116
鑫	110
机	109
水	109
粉	107
胜	106
三	105
馨	101
瑶	101
矿	99
运	99
级	96
抗	92
震	92
太	90
材	85
道	83
酒	81
林	81
牙	81
油	80
矩	79
一	77
格	76
合	72
汽	72
阳	72
具	69
吨	68
力	65
大	64
小	63
卷	62
铁	62
盘	62
无	62
米	59
坯	56
圆	55
配	55
票	55
美	53
泉	52
线	52
写	52
用	51
能	51
新	50
味	49
乡	48
衣	47
子	47
型	46
碳	46
中	45
装	43
备	43
柱	43
惠	43
 	42
商	41
糖	40
箱	40
锌	39
定	39
食	38
安	38
石	37
平	36
巴	36
微	36
其	36
他	36
船	35
洗	35
冰	34
鞋	34
灯	34
铜	34
松	33
两	33
华	32
苏	32
市	32
纯	31
包	31
烟	31
南	31
书	31
工	30
通	30
轮	29
天	29
州	29
柜	27
设	27
超	27
看	27
指	27
宽	26
表	26
架	26
椅	26
煤	25
津	25
树	24
床	24
花	24
刊	24
桌	24
组	24
牛	23
香	23
锰	23
要	23
轧	22
玻	22
角	22
压	22
生	22
豆	22
振	22
清	22
开	21
牌	21
厨	21
注	21
璃	20
头	20
西	20
宝	20
地	20
公	20
带	20
求	20
雨	20
和	19
籽	19
护	19
可	19
群	19
度	18
铸	18
竹	18
塑	18
沙	18
冷	18
办	18
佳	18
质	18
钟	18
店	18
鼎	17
菜	17
茶	17
叶	17
槽	17
成	17
梁	17
普	17
旋	16
裤	16
容	16
标	16
学	16
棉	16
口	15
有	15
红	15
视	15
不	15
河	15
请	15
铝	14
仔	14
套	14
块	14
硅	14
直	14
纺	14
卸	14
信	14
润	14
类	14
果	13
专	13
防	13
仪	13
的	13
瓶	13
液	13
动	13
保	13
光	13
栏	13
盐	13
盖	13
皮	13
